AUROC,best_F1,best_threshold,Precision,Recall,F1-score,model,file
0.999998,0.999974,7.64127,0.9999,1.0,1.0,BGL_lanobert,BGL_error_mean
0.999883,0.997741,11.9825,0.9999,0.9955,0.9977,BGL_lanobert,BGL_error_k9
0.999883,0.997741,12.4419,0.9999,0.9955,0.9977,BGL_lanobert,BGL_error_k8
0.999237,0.997731,11.7804,1.0,0.9955,0.9977,BGL_lanobert,BGL_error_k10
0.999881,0.997729,13.3654,0.9999,0.9955,0.9977,BGL_lanobert,BGL_error_k6
0.999883,0.997729,12.9427,0.9999,0.9955,0.9977,BGL_lanobert,BGL_error_k7
0.999888,0.997295,13.8191,0.9991,0.9955,0.9973,BGL_lanobert,BGL_error_k5
0.997421,0.983766,13.947,0.9682,0.9999,0.9838,BGL_lanobert,BGL_error_k4
0.991165,0.970627,15.9374,0.9431,0.9998,0.9706,BGL_lanobert,BGL_error_k2
0.987702,0.970337,14.9541,0.9425,0.9999,0.9703,BGL_lanobert,BGL_error_k3
0.994962,0.969075,16.1302,0.9401,0.9999,0.9691,BGL_lanobert,BGL_error_pctl99
0.994965,0.968075,16.558,0.9382,0.9999,0.9681,BGL_lanobert,BGL_error_k1
0.704206,0.658763,0.11205,0.4916,0.9983,0.6588,BGL_lanobert,BGL_prob_mean
0.769755,0.657386,6.9048e-05,0.4904,0.9969,0.6574,BGL_lanobert,BGL_prob_k8
0.730558,0.656491,0.486948,0.4891,0.9982,0.6565,BGL_lanobert,BGL_probtopk_k3
0.735061,0.656144,0.558843,0.4886,0.9987,0.6561,BGL_lanobert,BGL_probtopk_k2
0.732956,0.655533,0.669894,0.4879,0.9987,0.6555,BGL_lanobert,BGL_probtopk_k1
0.731504,0.655516,0.648177,0.4879,0.9987,0.6555,BGL_lanobert,BGL_prob_pctl99
0.726457,0.655414,0.365432,0.4879,0.9982,0.6554,BGL_lanobert,BGL_probtopk_k4
0.690255,0.655265,0.24002,0.4877,0.9983,0.6553,BGL_lanobert,BGL_probtopk_k6
0.688224,0.655265,0.160015,0.4877,0.9983,0.6553,BGL_lanobert,BGL_probtopk_k9
0.680443,0.655265,0.144014,0.4877,0.9983,0.6553,BGL_lanobert,BGL_probtopk_k10
0.688395,0.655265,0.205732,0.4877,0.9983,0.6553,BGL_lanobert,BGL_probtopk_k7
0.68819,0.655265,0.180016,0.4877,0.9983,0.6553,BGL_lanobert,BGL_probtopk_k8
0.713468,0.655244,0.264398,0.4875,0.9988,0.6552,BGL_lanobert,BGL_probtopk_k5
0.741268,0.644497,4.64914e-06,0.4756,0.9994,0.6445,BGL_lanobert,BGL_prob_k7
0.770308,0.642356,0.000143784,0.4732,0.9999,0.6424,BGL_lanobert,BGL_prob_k10
0.735018,0.642311,4.19407e-05,0.4731,0.9999,0.6423,BGL_lanobert,BGL_prob_k9
0.738177,0.642093,3.03982e-06,0.4735,0.997,0.6421,BGL_lanobert,BGL_prob_k6
0.701698,0.640259,1.90734e-06,0.4716,0.9969,0.6403,BGL_lanobert,BGL_prob_k4
0.710682,0.639967,2.1696e-06,0.4712,0.9969,0.64,BGL_lanobert,BGL_prob_k5
0.691924,0.639481,1.54972e-06,0.4707,0.9969,0.6395,BGL_lanobert,BGL_prob_k3
0.695029,0.63707,1.13249e-06,0.4676,0.9994,0.6371,BGL_lanobert,BGL_prob_k2
0.676626,0.61718,7.15255e-07,0.4466,0.9984,0.6172,BGL_lanobert,BGL_prob_k1
0.999999,0.999978,13.7501,1.0,1.0,1.0,BGL_tac_v2_2epochs,BGL_error_k8
0.999999,0.999978,14.3041,1.0,1.0,1.0,BGL_tac_v2_2epochs,BGL_error_k7
0.999999,0.999977,7.89695,1.0,1.0,1.0,BGL_tac_v2_2epochs,BGL_error_mean
0.999999,0.999977,7.89695,1.0,1.0,1.0,BGL_tac_v2_2epochs,BGL_tac_mlm_error
0.999998,0.999973,15.4715,0.9999,1.0,1.0,BGL_tac_v2_2epochs,BGL_error_k4
0.999999,0.999973,14.9373,1.0,1.0,1.0,BGL_tac_v2_2epochs,BGL_error_k6
0.999999,0.999973,14.8435,0.9999,1.0,1.0,BGL_tac_v2_2epochs,BGL_error_k5
0.999984,0.997811,12.9404,1.0,0.9957,0.9978,BGL_tac_v2_2epochs,BGL_error_k10
0.999984,0.997809,13.7309,1.0,0.9957,0.9978,BGL_tac_v2_2epochs,BGL_error_k9
0.999948,0.99779,17.1233,0.9999,0.9957,0.9978,BGL_tac_v2_2epochs,BGL_error_k3
0.999946,0.997767,18.0011,0.9999,0.9956,0.9978,BGL_tac_v2_2epochs,BGL_error_k2
0.999725,0.988372,19.2767,0.9998,0.9772,0.9884,BGL_tac_v2_2epochs,BGL_error_pctl99
0.997842,0.984464,17.2553,0.9694,1.0,0.9845,BGL_tac_v2_2epochs,BGL_error_k1
0.991582,0.969268,0.309571,0.9565,0.9823,0.9693,BGL_tac_v2_2epochs,BGL_tac_hybrid
0.631832,0.645003,0.48222,0.4763,0.9989,0.645,BGL_tac_v2_2epochs,BGL_prob_pctl99
0.632126,0.642367,0.509713,0.4744,0.9946,0.6424,BGL_tac_v2_2epochs,BGL_probtopk_k1
0.614011,0.637829,0.0494647,0.4685,0.999,0.6378,BGL_tac_v2_2epochs,BGL_prob_mean
0.614011,0.637829,0.0494647,0.4685,0.999,0.6378,BGL_tac_v2_2epochs,BGL_tac_mlm_prob
0.619198,0.636922,0.296427,0.4675,0.999,0.6369,BGL_tac_v2_2epochs,BGL_probtopk_k2
0.610909,0.63661,0.197777,0.4672,0.999,0.6366,BGL_tac_v2_2epochs,BGL_probtopk_k3
0.607545,0.63647,0.148387,0.467,0.999,0.6365,BGL_tac_v2_2epochs,BGL_probtopk_k4
0.608073,0.63647,0.118714,0.467,0.999,0.6365,BGL_tac_v2_2epochs,BGL_probtopk_k5
0.600306,0.636466,0.098929,0.467,0.999,0.6365,BGL_tac_v2_2epochs,BGL_probtopk_k6
0.601074,0.636466,0.0659528,0.467,0.999,0.6365,BGL_tac_v2_2epochs,BGL_probtopk_k9
0.601069,0.636466,0.0593576,0.467,0.999,0.6365,BGL_tac_v2_2epochs,BGL_probtopk_k10
0.600983,0.636466,0.0847964,0.467,0.999,0.6365,BGL_tac_v2_2epochs,BGL_probtopk_k7
0.601064,0.636466,0.0741969,0.467,0.999,0.6365,BGL_tac_v2_2epochs,BGL_probtopk_k8
0.627481,0.63414,7.22966e-05,0.4643,1.0,0.6341,BGL_tac_v2_2epochs,BGL_prob_k10
0.615281,0.632041,3.62091e-06,0.462,1.0,0.632,BGL_tac_v2_2epochs,BGL_prob_k8
0.619244,0.63088,2.7095e-05,0.4608,1.0,0.6309,BGL_tac_v2_2epochs,BGL_prob_k9
0.708506,0.620836,6.64165e-07,0.4503,0.9995,0.6208,BGL_tac_v2_2epochs,BGL_prob_k7
0.708117,0.617955,3.97364e-07,0.4471,1.0,0.618,BGL_tac_v2_2epochs,BGL_prob_k6
0.708478,0.614216,3.33786e-07,0.4432,1.0,0.6142,BGL_tac_v2_2epochs,BGL_prob_k5
0.656928,0.614192,2.38419e-07,0.4432,0.9999,0.6142,BGL_tac_v2_2epochs,BGL_prob_k2
0.69134,0.614161,2.78155e-07,0.4432,1.0,0.6142,BGL_tac_v2_2epochs,BGL_prob_k3
0.707709,0.614149,2.98023e-07,0.4432,1.0,0.6141,BGL_tac_v2_2epochs,BGL_prob_k4
0.609579,0.537862,2.38419e-07,0.4008,0.8173,0.5379,BGL_tac_v2_2epochs,BGL_prob_k1
0.192402,0.435512,0.0,0.2784,1.0,0.4355,BGL_tac_v2_2epochs,BGL_tac_mahalanobis
